time,Hourly Demand Met (in MW)
26-Apr 8pm,4041.62
26-Apr 9pm,3912.15
26-Apr 10pm,4078.76
26-Apr 11pm,4122.46
27-Apr 12am,3941.95
27-Apr 1am,3707.47
27-Apr 2am,3507.90
27-Apr 3am,3339.39
27-Apr 4am,3265.02
27-Apr 5am,3271.64
27-Apr 6am,3420.55
27-Apr 7am,3400.37
27-Apr 8am,3433.23
27-Apr 9am,3667.91
27-Apr 10am,4009.09
27-Apr 11am,4094.45
27-Apr 12pm,4323.87
27-Apr 1pm,4198.48
27-Apr 2pm,4452.72
27-Apr 3pm,4628.36
27-Apr 4pm,4594.07
27-Apr 5pm,4513.83
27-Apr 6pm,4369.35
27-Apr 7pm,4150.73
27-Apr 8pm,3931.82
27-Apr 9pm,3750.92
27-Apr 10pm,3828.73
27-Apr 11pm,3912.23
28-Apr 12am,3796.38
28-Apr 1am,3600.89
28-Apr 2am,3440.32
28-Apr 3am,3306.07
28-Apr 4am,3219.58
28-Apr 5am,3250.89
28-Apr 6am,3443.06
28-Apr 7am,3476.51
28-Apr 8am,3492.11
28-Apr 9am,3789.25
28-Apr 10am,4184.88
28-Apr 11am,4340.34
28-Apr 12pm,4295.95
28-Apr 1pm,4052.88
28-Apr 2pm,4236.71
28-Apr 3pm,4374.18
28-Apr 4pm,4339.08
28-Apr 5pm,4330.59
28-Apr 6pm,4215.06
28-Apr 7pm,4219.12
28-Apr 8pm,4046.51
28-Apr 9pm,3899.44
28-Apr 10pm,3995.53
28-Apr 11pm,4037.49
29-Apr 12am,3892.03
29-Apr 1am,3688.79
29-Apr 2am,3499.15
29-Apr 3am,3350.23
29-Apr 4am,3245.56
29-Apr 5am,3258.39
29-Apr 6am,3357.85
29-Apr 7am,3381.72
29-Apr 8am,3354.99
29-Apr 9am,3550.14
29-Apr 10am,3821.48
29-Apr 11am,3957.23
29-Apr 12pm,4070.09
29-Apr 1pm,3909.58
29-Apr 2pm,3964.49
29-Apr 3pm,4015.04
29-Apr 4pm,3992.54
29-Apr 5pm,3946.76
29-Apr 6pm,3890.42
29-Apr 7pm,3907.49
29-Apr 8pm,3789.25
29-Apr 9pm,3701.46
29-Apr 10pm,3775.63
29-Apr 11pm,3822.82
30-Apr 12am,3718.05
30-Apr 1am,3542.62
30-Apr 2am,3332.40
30-Apr 3am,3202.22
30-Apr 4am,3115.71
30-Apr 5am,3106.61
30-Apr 6am,3132.22
30-Apr 7am,3156.08
30-Apr 8am,3177.21
30-Apr 9am,3304.36
30-Apr 10am,3541.35
30-Apr 11am,3633.64
30-Apr 12pm,3642.33
30-Apr 1pm,3448.73
30-Apr 2pm,3470.64
30-Apr 3pm,3408.57
30-Apr 4pm,3420.49
30-Apr 5pm,3449.91
30-Apr 6pm,3490.43
30-Apr 7pm,3555.91
30-Apr 8pm,3452.68
30-Apr 9pm,3314.57
30-Apr 10pm,3321.02
30-Apr 11pm,3284.29
