time,Hourly Demand Met (in MW)
18-Apr 10am,26777.15
18-Apr 11am,27674.67
18-Apr 12pm,27670.60
18-Apr 1pm,27517.09
18-Apr 2pm,28285.72
18-Apr 3pm,28938.56
18-Apr 4pm,28223.76
18-Apr 5pm,27196.56
18-Apr 6pm,25839.57
18-Apr 7pm,26052.11
18-Apr 8pm,25694.52
18-Apr 9pm,25224.03
18-Apr 10pm,25367.87
18-Apr 11pm,25939.16
19-Apr 12am,26062.99
19-Apr 1am,25800.17
19-Apr 2am,25503.46
19-Apr 3am,25019.72
19-Apr 4am,25148.55
19-Apr 5am,25394.43
19-Apr 6am,25647.49
19-Apr 7am,24828.16
19-Apr 8am,24825.02
19-Apr 9am,25988.22
19-Apr 10am,27217.53
19-Apr 11am,27829.84
19-Apr 12pm,28140.10
19-Apr 1pm,27936.19
19-Apr 2pm,28017.29
19-Apr 3pm,28483.77
19-Apr 4pm,27634.82
19-Apr 5pm,27102.58
19-Apr 6pm,25720.50
19-Apr 7pm,25894.11
19-Apr 8pm,25380.93
19-Apr 9pm,24924.42
19-Apr 10pm,25191.82
19-Apr 11pm,25801.82
20-Apr 12am,25632.29
20-Apr 1am,25484.19
20-Apr 2am,25192.33
20-Apr 3am,24757.15
20-Apr 4am,24975.17
20-Apr 5am,25480.96
20-Apr 6am,25707.69
20-Apr 7am,24910.10
20-Apr 8am,24905.22
20-Apr 9am,25943.22
20-Apr 10am,27147.05
20-Apr 11am,27758.83
20-Apr 12pm,27810.14
20-Apr 1pm,27685.93
20-Apr 2pm,28116.86
20-Apr 3pm,27994.15
20-Apr 4pm,27076.51
20-Apr 5pm,25799.06
20-Apr 6pm,24081.87
20-Apr 7pm,23992.94
20-Apr 8pm,23561.46
20-Apr 9pm,23791.44
20-Apr 10pm,24769.13
20-Apr 11pm,25472.24
21-Apr 12am,25319.77
21-Apr 1am,24634.66
21-Apr 2am,24248.59
21-Apr 3am,24048.51
21-Apr 4am,24376.56
21-Apr 5am,24818.19
21-Apr 6am,25032.91
21-Apr 7am,24303.69
21-Apr 8am,24471.65
21-Apr 9am,25027.55
21-Apr 10am,25821.19
21-Apr 11am,26485.77
21-Apr 12pm,26588.02
21-Apr 1pm,26427.29
21-Apr 2pm,26822.88
21-Apr 3pm,24472.72
21-Apr 4pm,25248.00
21-Apr 5pm,24708.79
21-Apr 6pm,24764.08
21-Apr 7pm,24486.52
21-Apr 8pm,23036.07
21-Apr 9pm,24581.84
21-Apr 10pm,24441.07
21-Apr 11pm,25093.73
22-Apr 12am,25035.67
22-Apr 1am,24770.26
22-Apr 2am,24448.86
22-Apr 3am,24227.32
22-Apr 4am,24504.61
22-Apr 5am,25259.72
22-Apr 6am,25410.71
22-Apr 7am,24516.10
22-Apr 8am,24283.62
22-Apr 9am,24773.67
22-Apr 10am,25783.00
22-Apr 11am,26054.84
22-Apr 12pm,25840.10
22-Apr 1pm,25287.70
22-Apr 2pm,25178.28
22-Apr 3pm,25357.54
22-Apr 4pm,24503.87
22-Apr 5pm,23397.19
22-Apr 6pm,22697.65
22-Apr 7pm,23331.40
22-Apr 8pm,22908.72
22-Apr 9pm,22946.50
22-Apr 10pm,23396.82
22-Apr 11pm,23872.67
23-Apr 12am,23886.21
23-Apr 1am,23798.98
23-Apr 2am,23484.21
23-Apr 3am,23002.77
23-Apr 4am,23060.79
23-Apr 5am,23420.29
23-Apr 6am,23390.05
23-Apr 7am,22888.74
23-Apr 8am,22769.14
23-Apr 9am,23183.08
23-Apr 10am,23637.05
23-Apr 11am,24363.54
23-Apr 12pm,24227.31
23-Apr 1pm,24044.59
23-Apr 2pm,24305.31
23-Apr 3pm,24548.44
23-Apr 4pm,23845.19
23-Apr 5pm,22942.99
23-Apr 6pm,22364.60
23-Apr 7pm,23427.72
23-Apr 8pm,23346.23
23-Apr 9pm,23227.07
23-Apr 10pm,23512.31
23-Apr 11pm,23962.89
24-Apr 12am,23965.87
24-Apr 1am,23878.51
24-Apr 2am,23510.85
24-Apr 3am,23228.79
24-Apr 4am,23594.02
24-Apr 5am,24074.89
24-Apr 6am,24442.59
24-Apr 7am,24084.91
24-Apr 8am,24300.33
24-Apr 9am,25278.05
24-Apr 10am,26274.88
24-Apr 11am,26784.98
24-Apr 12pm,26663.56
24-Apr 1pm,26337.41
24-Apr 2pm,26704.30
24-Apr 3pm,27182.56
24-Apr 4pm,26542.33
24-Apr 5pm,25588.16
24-Apr 6pm,24986.72
24-Apr 7pm,25605.95
24-Apr 8pm,25266.33
24-Apr 9pm,24896.53
24-Apr 10pm,25429.68
24-Apr 11pm,25906.49
25-Apr 12am,25741.28
25-Apr 1am,25455.45
25-Apr 2am,25038.79
25-Apr 3am,24880.18
25-Apr 4am,24979.29
25-Apr 5am,25363.54
25-Apr 6am,25277.38
25-Apr 7am,24926.17
25-Apr 8am,25136.29
25-Apr 9am,26184.32
25-Apr 10am,26999.88
25-Apr 11am,27325.43
25-Apr 12pm,26907.33
25-Apr 1pm,26530.83
25-Apr 2pm,26515.21
25-Apr 3pm,26710.76
25-Apr 4pm,25873.14
25-Apr 5pm,24830.45
25-Apr 6pm,24294.16
25-Apr 7pm,25150.13
25-Apr 8pm,24641.12
25-Apr 9pm,24181.59
25-Apr 10pm,24731.92
25-Apr 11pm,25138.21
26-Apr 12am,25024.35
26-Apr 1am,24849.94
26-Apr 2am,24370.84
26-Apr 3am,24051.35
26-Apr 4am,24182.09
26-Apr 5am,24609.16
26-Apr 6am,24916.82
26-Apr 7am,24436.31
26-Apr 8am,24647.44
26-Apr 9am,25245.99
26-Apr 10am,26041.06
26-Apr 11am,26223.54
26-Apr 12pm,26581.69
26-Apr 1pm,26281.20
26-Apr 2pm,26803.32
26-Apr 3pm,27246.25
26-Apr 4pm,26318.64
26-Apr 5pm,25092.36
26-Apr 6pm,24057.87
26-Apr 7pm,24779.79
26-Apr 8pm,24313.60
26-Apr 9pm,23548.33
26-Apr 10pm,23697.32
